step,t_s,ref_index,tip_x_m,tip_y_m,tip_z_m,des_x_m,des_y_m,des_z_m,err_norm_mm,q1,q2,q3,q4,q5,q6,insertion_m,terminal_hold
1,20.1715,0,0.500820,-0.670453,-0.016567,0.500861,-0.670426,-0.016567,0.049,-0.856321,-1.945840,-1.761773,-1.033196,1.562339,-2.056412,0.024999,0
2,20.2765,2,0.500920,-0.670490,-0.016567,0.500604,-0.670325,-0.016567,0.356,-0.856305,-1.945773,-1.761778,-1.033220,1.562352,-2.056397,0.025196,0
3,20.3801,3,0.500733,-0.670579,-0.016567,0.500451,-0.670214,-0.016567,0.462,-0.855830,-1.944920,-1.762009,-1.033944,1.562574,-2.056383,0.025377,0
4,20.4836,3,0.500549,-0.670490,-0.016567,0.500451,-0.670214,-0.016567,0.293,-0.854771,-1.942463,-1.763226,-1.036233,1.563615,-2.056257,0.025497,0
5,20.5883,4,0.500641,-0.670040,-0.016567,0.500299,-0.670060,-0.016567,0.342,-0.852662,-1.938305,-1.765466,-1.040976,1.564927,-2.055959,0.025697,0
6,20.6935,5,0.500660,-0.670058,-0.016567,0.500165,-0.669889,-0.016567,0.523,-0.850018,-1.936350,-1.767476,-1.043799,1.566460,-2.055585,0.025897,0
7,20.7977,7,0.499976,-0.669292,-0.016567,0.499933,-0.669520,-0.016567,0.232,-0.847544,-1.936582,-1.768698,-1.044840,1.567821,-2.055022,0.026016,0
8,20.9011,8,0.499808,-0.669253,-0.016567,0.499830,-0.669328,-0.016567,0.077,-0.845863,-1.936279,-1.768915,-1.045319,1.568548,-2.054639,0.026121,0
9,21.0051,9,0.499834,-0.669269,-0.016567,0.499733,-0.669132,-0.016567,0.170,-0.843868,-1.935094,-1.770208,-1.047436,1.569913,-2.054282,0.026275,0
10,21.1089,10,0.499746,-0.668625,-0.016567,0.499640,-0.668933,-0.016567,0.326,-0.841839,-1.933628,-1.771179,-1.048936,1.570697,-2.053817,0.026409,0
11,21.2130,11,0.499418,-0.668554,-0.016567,0.499553,-0.668732,-0.016567,0.223,-0.838631,-1.932662,-1.772512,-1.051107,1.572457,-2.053201,0.026476,0
12,21.3163,12,0.499418,-0.668336,-0.016567,0.499468,-0.668529,-0.016567,0.200,-0.836746,-1.931928,-1.773067,-1.052245,1.573234,-2.052838,0.026569,0
13,21.4205,13,0.499128,-0.668093,-0.016567,0.499386,-0.668325,-0.016567,0.346,-0.835315,-1.931181,-1.773552,-1.053171,1.573826,-2.052495,0.026593,0
14,21.5249,14,0.499262,-0.667863,-0.016567,0.499306,-0.668118,-0.016567,0.259,-0.833292,-1.930407,-1.774545,-1.054588,1.575222,-2.052134,0.026681,0
15,21.6288,15,0.499084,-0.667559,-0.016567,0.499229,-0.667911,-0.016567,0.380,-0.831079,-1.929532,-1.775322,-1.055948,1.576154,-2.051699,0.026731,0
16,21.7327,16,0.499110,-0.667573,-0.016567,0.499152,-0.667701,-0.016567,0.135,-0.829332,-1.928906,-1.775865,-1.056947,1.576915,-2.051364,0.026825,0
17,21.8364,17,0.498989,-0.667174,-0.016567,0.499077,-0.667491,-0.016567,0.329,-0.827394,-1.928206,-1.776323,-1.058180,1.577870,-2.051020,0.026891,0
18,21.9402,18,0.498888,-0.666779,-0.016567,0.499004,-0.667278,-0.016567,0.513,-0.825536,-1.927532,-1.777084,-1.059159,1.578655,-2.050651,0.026932,0
19,22.0442,19,0.498911,-0.666774,-0.016567,0.498931,-0.667065,-0.016567,0.291,-0.823322,-1.926907,-1.777854,-1.060671,1.579956,-2.050253,0.027017,0
20,22.1481,20,0.498692,-0.666280,-0.016567,0.498858,-0.666850,-0.016567,0.594,-0.821490,-1.926095,-1.778232,-1.061516,1.580503,-2.049885,0.027033,0
21,22.2515,21,0.498692,-0.666280,-0.016567,0.498787,-0.666633,-0.016567,0.366,-0.819696,-1.925463,-1.778751,-1.062704,1.581244,-2.049549,0.027087,0
22,22.3553,22,0.498825,-0.666231,-0.016567,0.498715,-0.666415,-0.016567,0.214,-0.817880,-1.924857,-1.779409,-1.063721,1.582160,-2.049198,0.027214,0
23,22.4590,23,0.498586,-0.666181,-0.016567,0.498644,-0.666195,-0.016567,0.059,-0.815802,-1.924122,-1.779843,-1.064704,1.582900,-2.048818,0.027306,0
24,22.5627,24,0.498565,-0.665638,-0.016567,0.498572,-0.665974,-0.016567,0.336,-0.813579,-1.923580,-1.780628,-1.066108,1.584196,-2.048392,0.027379,0
25,22.6664,25,0.498352,-0.665485,-0.016567,0.498500,-0.665750,-0.016567,0.304,-0.810454,-1.922925,-1.781478,-1.067339,1.585493,-2.047884,0.027418,0
26,22.7702,26,0.498582,-0.665193,-0.016567,0.498428,-0.665525,-0.016567,0.365,-0.808040,-1.922397,-1.781996,-1.068554,1.586760,-2.047476,0.027539,0
